parkinglot_id,long,lat,capacity,node_id
d0,120.206747,30.319009,50,5589639065
d1,120.162771,30.309953,50,5298788118
d2,120.209122,30.302903,50,5577760367
d3,120.076612,30.306517,50,4235017526
d4,120.101024,30.351791,50,11896870232
d5,120.110728,30.303401,50,6087154829
d6,120.165225,30.282348,50,3813795698
d7,120.204084,30.323332,50,7298370167
d8,120.120076,30.34043,50,8693803069
d9,120.050323,30.320468,50,6604499402
d10,120.071714,30.280009,50,7309201530
d11,120.109969,30.343255,50,7805507114
d12,120.11532,30.284086,50,3796925703
d13,120.054077,30.337517,50,9958976570
d14,120.084961,30.291912,50,9753661866
d15,120.051337,30.272095,50,3403945390
d16,120.205006,30.287991,50,12006448494
d17,120.164964,30.279276,50,3813795699
d18,120.193648,30.350635,50,10844332161
d19,120.151836,30.318515,50,5102849670
d20,120.08297,30.285146,50,4944969170
d21,120.050687,30.299385,50,11127288984
d22,120.142685,30.343204,50,1979801088
d23,120.176692,30.284435,50,5057734556
d24,120.109375,30.317187,50,11036494822
d25,120.086398,30.292697,50,6060837466
d26,120.124973,30.329495,50,4919999592
d27,120.128234,30.266374,50,5398322012
d28,120.191746,30.319105,50,7418522141
d29,120.205866,30.297727,50,5547837681
d30,120.164114,30.33502,50,5294860291
d31,120.070513,30.274787,50,6089737419
d32,120.149705,30.339738,50,5299311842
d33,120.14,30.311667,50,5023330326
d34,120.211122,30.291444,50,5614722629
d35,120.207564,30.29513,50,5547837694
d36,120.134759,30.306359,50,5351435859
d37,120.146942,30.266336,50,7308085133
d38,120.122762,30.320752,50,6312307162
d39,120.126335,30.283697,50,33993372
d40,120.16323,30.26963,50,26427322
d41,120.10717,30.343484,50,10834211790
d42,120.127869,30.277116,50,6298795367
d43,120.127262,30.322131,50,9852176588
d44,120.207941,30.267938,50,5039275833
d45,120.05604,30.306604,50,11127297329
d46,120.177987,30.311732,50,5556701673
d47,120.167319,30.301104,50,5917643988
d48,120.162516,30.322652,50,7404005646
d49,120.143561,30.337008,50,5466534947
